,log2FC,t,B,PValue,FDR,,,NKG7
P2RX7,1.228749342,7.400535096,16.61383807,6.31E-12,3.61E-10,,,SPI1
SPI1,1.24492923,7.396712008,16.59264854,6.45E-12,3.68E-10,,,AC068775.1
AC068775.1,2.897665369,7.394997566,16.58314799,6.51E-12,3.71E-10,,,KLRC2
KLRC2,2.672101734,7.391202396,16.56212106,6.65E-12,3.78E-10,,,LST1
LST1,1.219731319,7.350082897,16.33464903,8.40E-12,4.74E-10,,,NCKAP1L
NCKAP1L,1.454194423,7.348394666,16.32532347,8.48E-12,4.77E-10,,,DOCK10
DOCK10,1.313842943,7.343443472,16.29797997,8.72E-12,4.89E-10,,,TRAF1
TRAF1,1.039757841,7.325089543,16.1967,9.67E-12,5.41E-10,,,RUFY4
RUFY4,1.874654594,7.32196853,16.17949054,9.84E-12,5.49E-10,,,CD72
CD72,1.29792302,7.319517084,16.16597574,9.98E-12,5.55E-10,,,SCIMP
SCIMP,1.518278227,7.30557024,16.08913075,1.08E-11,5.99E-10,,,SLAMF1
SLAMF1,1.49200531,7.293379858,16.02202486,1.16E-11,6.38E-10,,,CD5
CD5,1.532422735,7.280604997,15.95176307,1.24E-11,6.83E-10,,,ARHGAP25
ARHGAP25,1.216062858,7.276138279,15.927211,1.27E-11,6.99E-10,,,PIK3R5
PIK3R5,1.331481484,7.272578263,15.9076483,1.30E-11,7.11E-10,,,XCR1
XCR1,2.040392113,7.262613526,15.85291711,1.37E-11,7.50E-10,,,ACOD1
ACOD1,2.772919817,7.247545167,15.77022774,1.50E-11,8.11E-10,,,SECTM1
SECTM1,1.419668924,7.234344397,15.69785985,1.61E-11,8.71E-10,,,GPR141
GPR141,1.796833182,7.222655358,15.63383644,1.72E-11,9.28E-10,,,C3AR1
C3AR1,1.383226169,7.210208158,15.56571947,1.84E-11,9.92E-10,,,SRGN
SRGN,1.246366217,7.204249021,15.53312988,1.91E-11,1.02E-09,,,GMFG
GMFG,1.019287959,7.202742518,15.52489327,1.92E-11,1.03E-09,,,SFMBT2
SFMBT2,1.241658921,7.200749258,15.51399676,1.95E-11,1.04E-09,,,TNFRSF18
TNFRSF18,1.389657321,7.188858916,15.44902875,2.08E-11,1.10E-09,,,HLA-F
HLA-F,1.096647032,7.186174179,15.43436729,2.11E-11,1.12E-09,,,ZNF80
ZNF80,2.187404999,7.170043952,15.34633974,2.31E-11,1.22E-09,,,APOC1
APOC1,1.691983464,7.151480057,15.24515933,2.56E-11,1.35E-09,,,AKAP5
AKAP5,1.08819056,7.140498317,15.18536955,2.72E-11,1.43E-09,,,LY9
LY9,1.802835405,7.125438882,15.10345766,2.96E-11,1.55E-09,,,SIGLEC8
SIGLEC8,2.010082909,7.106139848,14.99861933,3.30E-11,1.71E-09,,,FCGR2A
FCGR2A,1.235163863,7.104821876,14.99146519,3.32E-11,1.72E-09,,,ST8SIA4
ST8SIA4,1.097584187,7.101811975,14.97512967,3.38E-11,1.74E-09,,,TNFSF8
TNFSF8,1.565569938,7.099208596,14.96100342,3.43E-11,1.76E-09,,,CD69
CD69,1.561440383,7.098861818,14.95912197,3.43E-11,1.76E-09,,,APOL1
APOL1,1.310969677,7.096837143,14.94813802,3.47E-11,1.78E-09,,,HLA-DOB
HLA-DOB,1.793766097,7.093037888,14.9275314,3.55E-11,1.81E-09,,,C1orf162
C1orf162,1.257647018,7.086566668,14.89244594,3.68E-11,1.86E-09,,,PLA2G7
PLA2G7,1.364157402,7.073655316,14.82249456,3.95E-11,1.98E-09,,,RUNX3
RUNX3,1.276376614,7.070274665,14.80419005,4.02E-11,2.01E-09,,,ADA2
ADA2,1.419769465,7.061148732,14.75480111,4.23E-11,2.10E-09,,,IFIT2
IFIT2,1.358258439,7.053264738,14.71216095,4.42E-11,2.19E-09,,,IL12RB2
IL12RB2,1.365285833,7.052703687,14.70912751,4.44E-11,2.19E-09,,,KCNA3
KCNA3,1.873225267,7.052439202,14.70769756,4.44E-11,2.19E-09,,,APOBEC3C
APOBEC3C,1.136806995,7.046218199,14.67407172,4.60E-11,2.25E-09,,,DNAJC5B
DNAJC5B,1.774730338,7.039162947,14.63595588,4.78E-11,2.34E-09,,,1-Mar
1-Mar,1.011363646,7.016923827,14.51594401,5.41E-11,2.64E-09,,,CLEC2B
CLEC2B,1.13628748,7.004802832,14.45062018,5.78E-11,2.81E-09,,,TYROBP
TYROBP,1.320769922,7.002419759,14.43778423,5.86E-11,2.84E-09,,,TNFSF10
TNFSF10,1.075551109,7.000777583,14.42894036,5.91E-11,2.85E-09,,,CCR8
CCR8,1.819731339,6.999199501,14.42044271,5.96E-11,2.87E-09,,,RNASE6
RNASE6,1.270406214,6.998150339,14.41479377,6.00E-11,2.88E-09,,,RASGRP1
RASGRP1,1.322689306,6.982955015,14.33302992,6.52E-11,3.10E-09,,,GIMAP6
GIMAP6,1.105027764,6.954885236,14.18224474,7.61E-11,3.61E-09,,,LSP1
LSP1,1.191548461,6.945264007,14.1306377,8.02E-11,3.79E-09,,,IL16
IL16,1.337943371,6.930838914,14.0533366,8.68E-11,4.08E-09,,,ITGA4
ITGA4,1.187197628,6.920769199,13.99942732,9.18E-11,4.30E-09,,,CD163
CD163,1.526881648,6.920202335,13.99639383,9.21E-11,4.30E-09,,,SLC9A7
SLC9A7,1.106081117,6.91098835,13.94710575,9.68E-11,4.50E-09,,,FGR
FGR,1.088526906,6.902875433,13.90373751,1.01E-10,4.69E-09,,,PILRA
PILRA,1.20752196,6.886909228,13.81847098,1.10E-10,5.07E-09,,,MS4A7
MS4A7,1.319942625,6.879075812,13.77667702,1.15E-10,5.28E-09,,,IL15
IL15,1.009008638,6.874177583,13.75055667,1.18E-10,5.41E-09,,,CCR2
CCR2,1.820984447,6.870454907,13.73071198,1.21E-10,5.49E-09,,,SIGLEC7
SIGLEC7,1.460391684,6.870374337,13.73028254,1.21E-10,5.49E-09,,,RAC2
RAC2,1.096261682,6.857388584,13.66110578,1.30E-10,5.88E-09,,,BST2
BST2,1.391086549,6.842887435,13.58394233,1.41E-10,6.33E-09,,,ACP5
ACP5,1.106917209,6.833507553,13.53407863,1.48E-10,6.64E-09,,,SNX10
SNX10,1.074266584,6.82961655,13.51340516,1.51E-10,6.76E-09,,,LRRC25
LRRC25,1.21131507,6.811318046,13.41627085,1.67E-10,7.45E-09,,,TOGARAM2
TOGARAM2,1.186242311,6.7631017,13.16102472,2.17E-10,9.62E-09,,,HTRA4
HTRA4,1.499224987,6.762731261,13.15906767,2.17E-10,9.62E-09,,,KMO
KMO,1.165627414,6.759198034,13.14040439,2.21E-10,9.78E-09,,,MNDA
MNDA,1.261919812,6.748327448,13.08301823,2.35E-10,1.03E-08,,,WIPF1
WIPF1,1.114063258,6.739982816,13.03900219,2.46E-10,1.08E-08,,,IRF4
IRF4,1.748441688,6.73477534,13.0115496,2.53E-10,1.11E-08,,,LAX1
LAX1,1.636894905,6.734056403,13.00776048,2.54E-10,1.11E-08,,,APOE
APOE,1.641119494,6.732651148,13.00035482,2.56E-10,1.11E-08,,,JAML
JAML,1.241917021,6.714973197,12.90726762,2.81E-10,1.22E-08,,,GPR132
GPR132,1.218607117,6.687527606,12.76302364,3.26E-10,1.41E-08,,,CYTIP
CYTIP,1.280525643,6.687081057,12.76067953,3.27E-10,1.41E-08,,,CXorf21
CXorf21,1.207328487,6.681296481,12.73032224,3.37E-10,1.45E-08,,,C4orf50
C4orf50,1.961700135,6.674254111,12.69338442,3.50E-10,1.51E-08,,,CLEC4E
CLEC4E,1.672645345,6.673508439,12.68947462,3.52E-10,1.51E-08,,,VAV1
VAV1,1.203756515,6.660886937,12.62333407,3.76E-10,1.60E-08,,,EBI3
EBI3,1.38722874,6.635508186,12.49056013,4.31E-10,1.83E-08,,,SIGLEC9
SIGLEC9,1.209355435,6.631221327,12.4681615,4.41E-10,1.87E-08,,,BIRC3
BIRC3,1.410774218,6.619026594,12.40449043,4.71E-10,1.98E-08,,,RGS18
RGS18,1.233923159,6.618602087,12.40227522,4.72E-10,1.98E-08,,,KLRB1
KLRB1,1.383038579,6.589319646,12.24966967,5.52E-10,2.30E-08,,,CASS4
CASS4,1.152733003,6.565480246,12.12572197,6.27E-10,2.57E-08,,,MS4A4A
MS4A4A,1.364349419,6.55776735,12.08567675,6.54E-10,2.68E-08,,,GIMAP7
GIMAP7,1.15777841,6.557294325,12.08322171,6.55E-10,2.68E-08,,,HS3ST3B1
HS3ST3B1,1.092655673,6.532416721,11.95425139,7.48E-10,3.04E-08,,,PPP1R16B
PPP1R16B,1.291758351,6.502008785,11.79700318,8.79E-10,3.55E-08,,,IL32
IL32,1.168322291,6.501485461,11.79430072,8.82E-10,3.55E-08,,,CEACAM4
CEACAM4,1.440694874,6.482654251,11.69714143,9.74E-10,3.91E-08,,,DOCK8
DOCK8,1.163758631,6.455503171,11.55735081,1.12E-09,4.48E-08,,,TNFSF4
TNFSF4,1.269456244,6.455125944,11.55541107,1.13E-09,4.48E-08,,,GPR84
GPR84,1.397406761,6.449327315,11.52560247,1.16E-09,4.58E-08,,,CASP1
CASP1,1.290136494,6.426062161,11.40616603,1.31E-09,5.14E-08,,,EVL
EVL,1.026530945,6.379346496,11.1671248,1.68E-09,6.56E-08,,,CD37
CD37,1.390614568,6.372545121,11.13241029,1.74E-09,6.78E-08,,,TLR7
TLR7,1.506873032,6.368045679,11.10945725,1.78E-09,6.93E-08,,,TESPA1
TESPA1,1.389292591,6.352814504,11.03183124,1.93E-09,7.46E-08,,,FGD2
FGD2,1.116062567,6.346882419,11.00162874,1.99E-09,7.68E-08,,,SIRPB2
SIRPB2,1.174498395,6.326892439,10.89997848,2.21E-09,8.45E-08,,,LILRA6
LILRA6,1.126699539,6.31097951,10.81919999,2.40E-09,9.12E-08,,,PRAM1
PRAM1,1.106491995,6.31005533,10.8145124,2.41E-09,9.15E-08,,,KIR2DL1
KIR2DL1,2.453390084,6.305449142,10.79115537,2.47E-09,9.35E-08,,,SOCS1
SOCS1,1.081271872,6.294478245,10.73556624,2.62E-09,9.89E-08,,,SCML4
SCML4,1.500784049,6.292895617,10.72755201,2.64E-09,9.95E-08,,,MATK
MATK,1.236985312,6.267416413,10.59869883,3.01E-09,1.12E-07,,,CLEC6A
CLEC6A,2.329557809,6.263555502,10.5792015,3.08E-09,1.15E-07,,,ARHGAP15
ARHGAP15,1.110550744,6.250228332,10.51195712,3.30E-09,1.22E-07,,,NAIP
NAIP,1.180731709,6.232949277,10.4249045,3.60E-09,1.32E-07,,,MRC1
MRC1,1.464790259,6.224714583,10.38347021,3.76E-09,1.38E-07,,,ANKRD44
ANKRD44,1.046835591,6.196628734,10.24240706,4.35E-09,1.58E-07,,,MPEG1
MPEG1,1.319139135,6.192400383,10.22120422,4.45E-09,1.61E-07,,,UBASH3B
UBASH3B,1.024937658,6.188119004,10.19974465,4.54E-09,1.65E-07,,,CD40
CD40,1.296605285,6.181719782,10.16768706,4.70E-09,1.69E-07,,,IL10
IL10,1.362462172,6.17037265,10.11089329,4.98E-09,1.79E-07,,,RCSD1
RCSD1,1.082720353,6.161696933,10.06751425,5.21E-09,1.87E-07,,,TMIGD3
TMIGD3,1.232178588,6.159452481,10.05629809,5.27E-09,1.88E-07,,,IFITM1
IFITM1,1.257966612,6.155751907,10.03781087,5.37E-09,1.91E-07,,,OSCAR
OSCAR,1.125371711,6.154828139,10.03319702,5.39E-09,1.92E-07,,,PPP2R2B
PPP2R2B,1.507577756,6.149716338,10.00767347,5.54E-09,1.97E-07,,,FCRL3
FCRL3,1.957115277,6.120813528,9.863610497,6.42E-09,2.27E-07,,,MUC16
MUC16,2.757405247,6.114596109,9.832676248,6.63E-09,2.33E-07,,,HEATR9
HEATR9,1.518291931,6.10643497,9.792101278,6.91E-09,2.43E-07,,,CCR7
CCR7,1.623017573,6.104336875,9.781675643,6.99E-09,2.45E-07,,,FGL2
FGL2,1.418590304,6.09696049,9.745039652,7.26E-09,2.53E-07,,,SARDH
SARDH,1.088444565,6.096207955,9.74130364,7.29E-09,2.54E-07,,,CAMK4
CAMK4,1.062084415,6.08107422,9.666233126,7.87E-09,2.73E-07,,,MEFV
MEFV,1.266432547,6.074908878,9.635683994,8.12E-09,2.80E-07,,,CARD17
CARD17,2.382414403,6.054351241,9.533963573,9.02E-09,3.07E-07,,,B3GAT1
B3GAT1,1.566416662,6.040036793,9.463264429,9.70E-09,3.30E-07,,,GPR31
GPR31,2.033419631,6.020255966,9.365742603,1.07E-08,3.62E-07,,,VCAM1
VCAM1,1.102319526,6.005697146,9.294096662,1.16E-08,3.89E-07,,,SH2D1B
SH2D1B,1.363923145,5.997980261,9.25616591,1.20E-08,4.02E-07,,,CD14
CD14,1.003789539,5.997363177,9.253134115,1.20E-08,4.03E-07,,,TMEM156
TMEM156,1.294284592,5.993307965,9.233215421,1.23E-08,4.10E-07,,,VSIG4
VSIG4,1.373194469,5.9874358,9.204387429,1.27E-08,4.21E-07,,,CLECL1
CLECL1,1.719152887,5.983983669,9.1874485,1.29E-08,4.26E-07,,,HLA-DQB2
HLA-DQB2,1.903419861,5.978512875,9.160617258,1.33E-08,4.36E-07,,,CARMIL2
CARMIL2,1.367846738,5.978031258,9.158255944,1.33E-08,4.37E-07,,,ALOX5AP
ALOX5AP,1.153685779,5.974609893,9.141484925,1.35E-08,4.43E-07,,,CD209
CD209,1.358694525,5.968868135,9.113353596,1.39E-08,4.54E-07,,,IDO2
IDO2,1.690134951,5.967883172,9.108529592,1.40E-08,4.56E-07,,,NCR3
NCR3,1.595792335,5.964971619,9.094272828,1.42E-08,4.62E-07,,,CCL18
CCL18,1.866138536,5.963590172,9.087509978,1.43E-08,4.64E-07,,,DUSP2
DUSP2,1.088068788,5.957157981,9.056034622,1.48E-08,4.78E-07,,,ICAM3
ICAM3,1.430814922,5.952429141,9.032908455,1.51E-08,4.88E-07,,,CLNK
CLNK,1.331969516,5.943371811,8.988647173,1.58E-08,5.09E-07,,,IL27
IL27,1.87238667,5.942856617,8.986130838,1.59E-08,5.09E-07,,,HVCN1
HVCN1,1.014994845,5.941596407,8.979976257,1.60E-08,5.12E-07,,,MYO7A
MYO7A,1.068944294,5.92391316,8.893704494,1.75E-08,5.56E-07,,,CHST11
CHST11,1.014217928,5.89890905,8.772001424,1.98E-08,6.27E-07,,,CD300C
CD300C,1.161253632,5.885709562,8.707890525,2.11E-08,6.68E-07,,,KLHL6
KLHL6,1.27695799,5.874385241,8.652962206,2.24E-08,7.04E-07,,,SLC2A5
SLC2A5,1.230146565,5.87039412,8.633619865,2.28E-08,7.16E-07,,,LHX2
LHX2,1.477974061,5.866546728,8.614982233,2.33E-08,7.29E-07,,,FAM20A
FAM20A,1.099631063,5.855983745,8.563853917,2.45E-08,7.64E-07,,,MAFB
MAFB,1.048523771,5.831140796,8.44384437,2.78E-08,8.57E-07,,,BCL2A1
BCL2A1,1.187448106,5.830898692,8.442676484,2.78E-08,8.57E-07,,,TMIGD2
TMIGD2,1.492677789,5.820567489,8.392869452,2.93E-08,8.97E-07,,,CD28
CD28,1.19668916,5.815036723,8.3662294,3.01E-08,9.19E-07,,,CD33
CD33,1.109420092,5.804817608,8.317050948,3.16E-08,9.60E-07,,,PTCRA
PTCRA,1.83712127,5.794592016,8.267898566,3.33E-08,1.00E-06,,,ADGRE1
ADGRE1,1.303093132,5.785263089,8.223106309,3.49E-08,1.05E-06,,,CSF2RA
CSF2RA,1.032504268,5.782340809,8.209085002,3.54E-08,1.06E-06,,,SERPING1
SERPING1,1.13008603,5.765285864,8.127347964,3.85E-08,1.15E-06,,,LIMD2
LIMD2,1.010269662,5.738474445,7.999177148,4.39E-08,1.30E-06,,,CSF1R
CSF1R,1.148904148,5.722934333,7.925070821,4.74E-08,1.39E-06,,,AL645941.2
AL645941.2,2.651430581,5.722328896,7.922186383,4.76E-08,1.39E-06,,,BTK
BTK,1.239004167,5.713104019,7.878262278,4.98E-08,1.45E-06,,,CPA5
CPA5,2.067204505,5.697441134,7.803792485,5.38E-08,1.55E-06,,,RSAD2
RSAD2,1.361129942,5.694359901,7.789158792,5.46E-08,1.58E-06,,,IL12B
IL12B,1.70790203,5.68515332,7.745465682,5.71E-08,1.65E-06,,,IFI44
IFI44,1.150493099,5.675591897,7.700138885,5.98E-08,1.72E-06,,,OASL
OASL,1.302251842,5.655339656,7.604301114,6.61E-08,1.88E-06,,,MSR1
MSR1,1.225134589,5.655126953,7.603295785,6.61E-08,1.88E-06,,,SELL
SELL,1.261724071,5.625760123,7.464740898,7.63E-08,2.14E-06,,,IFNL1
IFNL1,2.463390033,5.625508069,7.463553806,7.64E-08,2.14E-06,,,ITGAX
ITGAX,1.016202854,5.620771451,7.441252549,7.82E-08,2.19E-06,,,P2RX5
P2RX5,1.465618704,5.618127125,7.428807903,7.92E-08,2.22E-06,,,CCL22
CCL22,1.299932392,5.611166203,7.396067645,8.19E-08,2.28E-06,,,RGS1
RGS1,1.203796389,5.604742558,7.365878915,8.45E-08,2.34E-06,,,ASPHD2
ASPHD2,1.03248656,5.604465399,7.364576898,8.46E-08,2.34E-06,,,SUSD3
SUSD3,1.154333103,5.602619146,7.355904841,8.54E-08,2.36E-06,,,IFI44L
IFI44L,1.593294391,5.595035343,7.320303275,8.86E-08,2.44E-06,,,POU3F1
POU3F1,1.596906958,5.575485493,7.228679667,9.74E-08,2.67E-06,,,TREM2
TREM2,1.319536139,5.571441868,7.209755873,9.93E-08,2.72E-06,,,TGM2
TGM2,1.163443281,5.570434813,7.205044409,9.98E-08,2.73E-06,,,CCR4
CCR4,1.342033631,5.540357138,7.064596102,1.15E-07,3.11E-06,,,VSNL1
VSNL1,2.041010497,5.515143478,6.947262774,1.30E-07,3.49E-06,,,IFNL2
IFNL2,2.691726544,5.494257208,6.850346507,1.44E-07,3.80E-06,,,KCNK13
KCNK13,1.136884239,5.483652218,6.801234562,1.52E-07,3.98E-06,,,RAB39B
RAB39B,1.476910414,5.429317725,6.550643275,1.97E-07,5.07E-06,,,LILRB5
LILRB5,1.237611048,5.425167716,6.531574758,2.00E-07,5.14E-06,,,XIRP1
XIRP1,1.669488278,5.423140721,6.522264788,2.02E-07,5.18E-06,,,PTGDR
PTGDR,1.326395374,5.414709802,6.483567715,2.11E-07,5.37E-06,,,ART3
ART3,1.579494196,5.382016874,6.333908795,2.46E-07,6.20E-06,,,SIRPD
SIRPD,1.794263018,5.375682372,6.304984721,2.54E-07,6.38E-06,,,IL7R
IL7R,1.087776005,5.356041413,6.215453989,2.78E-07,6.91E-06,,,FRMD3
FRMD3,1.055574767,5.336673309,6.127393054,3.05E-07,7.50E-06,,,OLR1
OLR1,1.372474039,5.333850969,6.114579509,3.09E-07,7.59E-06,,,CCL13
CCL13,1.783776787,5.314472125,6.026728113,3.38E-07,8.22E-06,,,CCDC194
CCDC194,1.85007572,5.30002328,5.961373531,3.62E-07,8.76E-06,,,PDE6G
PDE6G,1.023851455,5.296386851,5.944945216,3.68E-07,8.90E-06,,,IFNL3
IFNL3,2.808424826,5.283328604,5.886017891,3.91E-07,9.41E-06,,,CR1L
CR1L,1.600638618,5.281402837,5.877336319,3.95E-07,9.48E-06,,,PIK3CG
PIK3CG,1.203296014,5.2733663,5.841131019,4.10E-07,9.79E-06,,,GBP3
GBP3,1.045214412,5.267127482,5.81305166,4.22E-07,1.00E-05,,,WDFY4
WDFY4,1.391628289,5.254310356,5.755439306,4.48E-07,1.05E-05,,,NUGGC
NUGGC,1.522005606,5.254274356,5.755277628,4.48E-07,1.05E-05,,,HLA-DRB5
HLA-DRB5,1.615369741,5.231598191,5.653595451,4.98E-07,1.15E-05,,,AIPL1
AIPL1,1.809489727,5.222425657,5.612554275,5.20E-07,1.20E-05,,,CSF2RB
CSF2RB,1.066954695,5.213661511,5.573388594,5.41E-07,1.25E-05,,,MEI1
MEI1,1.079192715,5.211634046,5.564334869,5.47E-07,1.26E-05,,,TTC16
TTC16,1.066213808,5.201885469,5.520837515,5.72E-07,1.31E-05,,,TMEM155
TMEM155,1.704362768,5.174666366,5.39969825,6.49E-07,1.47E-05,,,PARP15
PARP15,1.276142748,5.14890644,5.285475351,7.30E-07,1.64E-05,,,TNFRSF8
TNFRSF8,1.089075932,5.114612146,5.134050577,8.55E-07,1.90E-05,,,CEBPE
CEBPE,1.761685633,5.087901483,5.016620489,9.66E-07,2.11E-05,,,PRKCB
PRKCB,1.217706406,5.078637641,4.975997822,1.01E-06,2.18E-05,,,TLR1
TLR1,1.018001854,5.058088972,4.886083331,1.11E-06,2.36E-05,,,CLEC9A
CLEC9A,1.404854707,5.056864085,4.880732033,1.11E-06,2.37E-05,,,IL2RG
IL2RG,1.186798091,5.043818082,4.823795403,1.18E-06,2.50E-05,,,FCGR2B
FCGR2B,1.09705914,5.040578738,4.80967465,1.20E-06,2.53E-05,,,CELF2
CELF2,1.040117361,5.017743453,4.710321433,1.33E-06,2.78E-05,,,ACSM5
ACSM5,1.451624738,5.012237812,4.686416755,1.36E-06,2.84E-05,,,LY86
LY86,1.053911875,4.990687287,4.593033535,1.50E-06,3.10E-05,,,CD180
CD180,1.170339702,4.962891753,4.473028166,1.70E-06,3.48E-05,,,CLEC10A
CLEC10A,1.435633317,4.959081766,4.456617449,1.73E-06,3.53E-05,,,FOXB1
FOXB1,1.455972954,4.934042906,4.349000453,1.93E-06,3.90E-05,,,SPOCK2
SPOCK2,1.112461345,4.919059163,4.284793952,2.07E-06,4.15E-05,,,TMEM52B
TMEM52B,1.025283022,4.908933018,4.241484966,2.16E-06,4.32E-05,,,CLEC4D
CLEC4D,1.494865726,4.903322732,4.217518706,2.22E-06,4.42E-05,,,ARRDC5
ARRDC5,1.178761809,4.898121519,4.195318207,2.27E-06,4.51E-05,,,SIRPB1
SIRPB1,1.162659818,4.896853792,4.189909794,2.28E-06,4.53E-05,,,CHIT1
CHIT1,2.04879073,4.892294977,4.17046948,2.33E-06,4.60E-05,,,MX1
MX1,1.031313757,4.874294489,4.093841627,2.52E-06,4.95E-05,,,P2RY12
P2RY12,1.773448827,4.861690733,4.040313456,2.67E-06,5.21E-05,,,SDS
SDS,1.046370856,4.855773259,4.015217773,2.74E-06,5.33E-05,,,SIGLEC11
SIGLEC11,1.158319959,4.812151022,3.830927426,3.32E-06,6.31E-05,,,XCL1
XCL1,1.354803469,4.809985107,3.821809751,3.35E-06,6.35E-05,,,TMEM244
TMEM244,2.106954945,4.805503826,3.802955104,3.42E-06,6.47E-05,,,IL22RA2
IL22RA2,1.566288407,4.770968198,3.658094869,3.98E-06,7.42E-05,,,SYT6
SYT6,1.318720922,4.758180561,3.604657723,4.21E-06,7.80E-05,,,CCL17
CCL17,1.516627062,4.747745389,3.561131757,4.40E-06,8.13E-05,,,CD70
CD70,1.24076665,4.675717144,3.262683808,6.01E-06,0.00010677,,,MCOLN2
MCOLN2,1.089804332,4.661778697,3.205333227,6.38E-06,0.000112347,,,ITGAD
ITGAD,1.319018475,4.657683163,3.188506884,6.50E-06,0.000114027,,,KIR3DL3
KIR3DL3,1.869018269,4.65006158,3.157224139,6.71E-06,0.00011709,,,HLA-DQA2
HLA-DQA2,1.994005992,4.609963992,2.993293574,7.97E-06,0.00013613,,,SUCNR1
SUCNR1,1.273231655,4.601969602,2.960741146,8.25E-06,0.000139945,,,P2RY8
P2RY8,1.059382575,4.600829135,2.95610083,8.29E-06,0.000140504,,,MZB1
MZB1,1.429873687,4.587093498,2.900283292,8.78E-06,0.000148219,,,FPR1
FPR1,1.11939839,4.579446317,2.869263413,9.07E-06,0.000152422,,,LRMP
LRMP,1.187486649,4.578753403,2.86645467,9.10E-06,0.00015274,,,RAB39A
RAB39A,1.180049307,4.573458426,2.845002239,9.31E-06,0.000155144,,,LILRA4
LILRA4,1.731160227,4.571674487,2.837778998,9.38E-06,0.000156189,,,SSTR3
SSTR3,1.412998684,4.559857273,2.789985855,9.86E-06,0.000162765,,,ALOX15B
ALOX15B,1.280374322,4.478131979,2.462098516,1.39E-05,0.000220294,,,CXorf65
CXorf65,1.412563366,4.475099823,2.450022499,1.41E-05,0.000222741,,,APOL4
APOL4,1.052989768,4.450014883,2.350364205,1.56E-05,0.000242966,,,ASTL
ASTL,1.394619728,4.407811062,2.183690512,1.86E-05,0.000282247,,,CD40LG
CD40LG,1.067856988,4.404128922,2.169208221,1.89E-05,0.000285687,,,KRT36
KRT36,1.503563367,4.3991311,2.149566498,1.93E-05,0.000290743,,,TNNI2
TNNI2,1.181850809,4.391685423,2.120337263,1.99E-05,0.000298888,,,AANAT
AANAT,1.037105404,4.388453695,2.107662767,2.02E-05,0.000301867,,,IGLL5
IGLL5,1.599507367,4.369073412,2.031810383,2.18E-05,0.000322818,,,CCDC42
CCDC42,1.484953154,4.363778496,2.011132929,2.23E-05,0.00032842,,,HS3ST3A1
HS3ST3A1,1.019064708,4.353939941,1.972764711,2.32E-05,0.000340145,,,TNFRSF17
TNFRSF17,1.502584234,4.352605754,1.967566971,2.34E-05,0.000341753,,,GBP6
GBP6,1.93907404,4.349729217,1.956364826,2.37E-05,0.00034477,,,FCRL5
FCRL5,1.464040347,4.34086119,1.92186697,2.45E-05,0.000355121,,,RNASE2
RNASE2,1.164978802,4.30401318,1.779123802,2.85E-05,0.000402517,,,CD79A
CD79A,1.511721695,4.302778382,1.774357209,2.86E-05,0.000403666,,,SHISAL2A
SHISAL2A,1.147472336,4.293080007,1.736957304,2.98E-05,0.000418064,,,FAM163B
FAM163B,1.830496497,4.292291461,1.733919391,2.99E-05,0.000419102,,,FOLR2
FOLR2,1.04751973,4.242235233,1.541990755,3.66E-05,0.000499017,,,FLT3
FLT3,1.222681152,4.227896178,1.487344242,3.88E-05,0.000524919,,,FPR2
FPR2,1.187362717,4.179703075,1.304772581,4.70E-05,0.000622573,,,C11orf21
C11orf21,1.176095188,4.178837102,1.301507449,4.71E-05,0.000624298,,,MYEOV
MYEOV,1.082490017,4.154189652,1.208804507,5.20E-05,0.000675638,,,BEND4
BEND4,1.431095094,4.145167959,1.174983659,5.39E-05,0.000696031,,,CXCR5
CXCR5,1.711911018,4.139357208,1.153231705,5.51E-05,0.000710324,,,CCL19
CCL19,1.678231552,4.105701254,1.027732273,6.29E-05,0.000794259,,,CAMK2N2
CAMK2N2,1.239139805,4.101479204,1.012047608,6.40E-05,0.000805453,,,IL2
IL2,1.736129463,4.093668159,0.983064726,6.60E-05,0.000827843,,,AD000671.2
AD000671.2,1.354187186,4.09258822,0.979061161,6.63E-05,0.000829995,,,TIMD4
TIMD4,1.619098089,4.086445636,0.956305679,6.79E-05,0.000846701,,,HSD11B1
HSD11B1,1.001662376,4.061561618,0.864407523,7.48E-05,0.000919613,,,CR1
CR1,1.260183,4.040589887,0.787314593,8.12E-05,0.000987827,,,DCSTAMP
DCSTAMP,1.215552679,4.028094527,0.741536784,8.52E-05,0.001029177,,,TNFRSF13B
TNFRSF13B,1.502456644,4.00617249,0.661505098,9.27E-05,0.001108548,,,KCNJ5
KCNJ5,1.13016429,3.994342213,0.618465151,9.71E-05,0.001150405,,,TSPAN32
TSPAN32,1.089496781,3.985021078,0.584627641,0.000100614,0.001188077,,,FCN1
FCN1,1.017646745,3.974863899,0.547829385,0.000104616,0.001227905,,,PLA1A
PLA1A,1.020118761,3.970863549,0.53335787,0.000106234,0.001245391,,,RAD51AP2
RAD51AP2,1.373089071,3.961315781,0.498866879,0.000110191,0.001284069,,,ECEL1
ECEL1,1.425036122,3.949717379,0.457060401,0.000115187,0.001331159,,,BTN1A1
BTN1A1,1.294644739,3.944895741,0.439710643,0.000117326,0.001351086,,,CLEC12B
CLEC12B,1.286679966,3.904789411,0.29607673,0.000136649,0.001535547,,,C7orf77
C7orf77,1.772037774,3.89504621,0.261367211,0.00014178,0.001582279,,,CLEC1B
